Boarding_House_ID,Location,Room_Type,Price (LKR),Availability,Amenities,Ratings,Proximity_to_Landmark,Query
BD1,Angoda,Single,11337,Available,"Parking, Laundry, Gym, Pet-Friendly, Air Conditioning",2.3,1.8,Find a boarding house with Air Conditioning and Study/Workspace.
BD2,Ratmalana,Shared,10263,Available,"Pool, Air Conditioning, Gym, Laundry",4,2.2,Are there any boarding houses near Colombo 3?
BD3,Colombo 6,Shared,11764,Available,"Pet-Friendly, Laundry, Pool, Parking, Wi-Fi",3.5,2.6,Are there any boarding houses near CINEC?
BD4,Talangama,Double,13806,Occupied,"Wi-Fi, Pool",3.2,4.3,Are there any boarding houses near NSBM?
BD5,Wellawatte,Single,10548,Occupied,"Parking, Air Conditioning, Laundry, Gym",2.8,3.8,Are there any boarding houses near SLIIT?
BD6,Colombo 8,Shared,14625,Occupied,"Laundry, Gym, Wi-Fi, Pool, Parking",4.7,1.8,Show me boarding houses with a rating of 1 stars.
BD7,Attidiya,Single,10441,Occupied,"Pool, Parking, Gym, Air Conditioning",2.9,5,Are there any boarding houses near Mount Lavinia?
BD8,Colombo 2,Double,14043,Available,"Laundry, Air Conditioning",2.9,1.1,Find a boarding house with Study/Workspace and Attach Bathroom.
BD9,Talangama,Double,10476,Occupied,"Gym, Pool, Laundry",4.1,4.1,Are there any boarding houses near Battaramulla?
BD10,Colombo 8,Single,10239,Available,"Pet-Friendly, Pool, Laundry, Wi-Fi",4.4,2.8,Find a boarding house with Attach Bathroom and Gym.
BD11,Borella,Shared,12445,Occupied,"Pool, Air Conditioning",3.1,4.1,Show me boarding houses with a rating of 5 stars.
BD12,Colombo 10,Single,12352,Available,"Wi-Fi, Pet-Friendly, Gym, Parking",2.7,9.1,Show me boarding houses with a rating of 4 stars.
BD13,Colombo 2,Shared,9452,Occupied,"Pool, Pet-Friendly, Air Conditioning, Wi-Fi",2.1,1.9,Show me boarding houses with a rating of 1 stars.
BD14,Malabe,Double,9646,Available,"Pet-Friendly, Pool, Wi-Fi, Air Conditioning",1.6,7.3,Are there any boarding houses near Colombo?
BD15,Colombo 3,Shared,8767,Available,"Parking, Pool, Laundry",4.3,8.3,Show me boarding houses with a rating of 2 stars.
BD16,Colombo 10,Single,10411,Available,"Gym, Wi-Fi, Pet-Friendly, Parking",2.7,7,Are there any boarding houses near Thalahena?
BD17,Kaduwela,Shared,12463,Occupied,"Pet-Friendly, Pool, Wi-Fi, Laundry",2.4,2.2,Find a boarding house with Study/Workspace and Study/Workspace.
BD18,Attidiya,Single,11382,Available,"Air Conditioning, Gym",3.1,7.1,Show me boarding houses with a rating of 2 stars.
BD19,Colombo 7,Shared,14685,Available,"Parking, Pet-Friendly, Air Conditioning, Laundry, Pool",1.9,5.2,Are there any boarding houses near Horizon Campus?
BD20,Moratuwa,Single,9985,Occupied,"Parking, Pool, Air Conditioning, Wi-Fi, Laundry",2.1,6.1,Find a boarding house with Kitchen and Laundry.
BD21,Thalawathugoda,Shared,13737,Available,"Parking, Laundry",3.2,8.7,Show me boarding houses with a rating of 3 stars.
BD22,Pannipitiya,Double,12411,Occupied,"Gym, Wi-Fi, Air Conditioning, Parking",3.4,2.4,Are there any boarding houses near Angoda?
BD23,Colombo 6,Double,8760,Available,"Gym, Pool, Parking, Laundry",3.1,8.2,Are there any boarding houses near Pittugala?
BD24,Colombo 9,Shared,8934,Available,"Pool, Pet-Friendly, Laundry, Parking",1.6,5.2,Are there any boarding houses near Colombo 1?
BD25,Narahenpita,Single,10832,Available,"Laundry, Wi-Fi, Pool, Air Conditioning",1.6,1.4,Show me boarding houses with a rating of 4 stars.
BD26,Kelaniya,Double,14636,Available,"Wi-Fi, Air Conditioning, Laundry",2.5,8.9,Show me boarding houses with a rating of 3 stars.
BD27,Dehiwala,Double,9860,Occupied,"Laundry, Pool, Parking, Air Conditioning",1.6,8.1,Find a boarding house with Laundry and Kitchen.
BD28,Thalawathugoda,Shared,14276,Available,"Laundry, Pet-Friendly, Parking, Wi-Fi, Air Conditioning",1.3,9.1,Find a boarding house with Parking and Attach Bathroom.
BD29,Battaramulla,Shared,11721,Available,"Air Conditioning, Pet-Friendly, Pool, Parking",2,4.8,Are there any boarding houses near Colombo 2?
BD30,Piliyandala,Shared,13993,Available,"Laundry, Pet-Friendly",1.7,9.6,Find a boarding house with Wi-Fi and Gym.
BD31,Dehiwala,Double,11972,Available,"Wi-Fi, Pet-Friendly, Gym",3,7.5,Find a boarding house with Wi-Fi and Wi-Fi.
BD32,Colombo 9,Single,14813,Available,"Laundry, Air Conditioning, Wi-Fi",2.6,5.4,Find a boarding house with Attach Bathroom and Laundry.
BD33,Colombo 2,Shared,12969,Available,"Gym, Laundry",2.2,6.1,Are there any boarding houses near Kaduwela?
