date,bookings,day_of_week,month,holiday,special_event,weather,distance,amenities,revenue
2018-01-01,19,0,1,0,0,Cloudy,3.5,3,535249
2018-01-01,12,0,1,1,0,Sunny,3.4,3,245388
2018-01-02,13,1,1,0,0,Sunny,3.2,3,357786
2018-01-02,9,1,1,0,0,Sunny,3.4,5,156762
2018-01-03,15,2,1,0,0,Rainy,4.7,2,186810
2018-01-03,15,2,1,0,0,Cloudy,1.0,4,416415
2018-01-04,6,3,1,0,1,Rainy,1.2,4,151338
2018-01-04,12,3,1,0,0,Rainy,1.8,3,200412
2018-01-05,16,4,1,0,0,Sunny,1.7,5,201552
2018-01-05,19,4,1,0,1,Cloudy,1.7,2,192679
2018-01-06,10,5,1,0,0,Cloudy,3.7,2,126590
2018-01-07,12,6,1,0,0,Sunny,2.8,4,228372
2018-01-08,15,0,1,0,0,Cloudy,5.0,3,375555
2018-01-09,9,1,1,0,1,Sunny,1.9,4,215730
2018-01-10,14,2,1,0,0,Rainy,2.2,4,219254
2018-01-10,6,2,1,1,0,Rainy,4.9,2,96852
2018-01-11,10,3,1,0,0,Sunny,4.3,5,221090
2018-01-11,9,3,1,0,0,Rainy,2.9,2,169083
2018-01-11,16,3,1,0,0,Rainy,3.2,4,321536
2018-01-12,17,4,1,0,0,Sunny,4.4,3,314024
2018-01-12,16,4,1,0,0,Rainy,2.9,3,428912
2018-01-13,9,5,1,1,0,Cloudy,1.8,5,128241
2018-01-14,17,6,1,0,0,Rainy,4.3,5,424133
2018-01-15,5,0,1,0,1,Sunny,3.2,5,58750
2018-01-15,6,0,1,0,1,Cloudy,1.6,4,170106
2018-01-16,12,1,1,0,0,Cloudy,3.0,4,169056
2018-01-17,17,2,1,0,0,Rainy,2.7,5,429794
2018-01-18,18,3,1,0,0,Cloudy,4.5,3,527940
2018-01-18,17,3,1,0,0,Sunny,1.5,3,333897
2018-01-20,7,5,1,0,0,Cloudy,4.5,3,105525
2018-01-21,14,6,1,0,0,Rainy,3.0,4,285768
2018-01-22,7,0,1,0,1,Rainy,2.6,2,179802
2018-01-23,12,1,1,1,0,Cloudy,1.6,3,206760
2018-01-23,12,1,1,0,0,Sunny,3.8,3,305184
2018-01-25,6,3,1,0,0,Sunny,4.7,3,126012
2018-01-25,12,3,1,0,0,Rainy,2.5,5,287364
2018-01-25,15,3,1,0,0,Rainy,2.0,4,355290
2018-01-27,17,5,1,1,0,Sunny,3.2,5,474555
2018-01-27,17,5,1,0,0,Cloudy,4.2,5,392258
2018-01-28,5,6,1,0,1,Cloudy,1.0,2,146870
2018-01-28,10,6,1,0,0,Cloudy,3.5,5,144930
2018-01-29,12,0,1,0,1,Cloudy,3.4,2,327804
2018-01-29,7,0,1,0,0,Sunny,2.3,5,80220
2018-01-29,12,0,1,0,0,Rainy,2.8,3,289680
2018-01-29,16,0,1,0,0,Rainy,2.0,4,465712
2018-02-01,5,3,2,0,0,Cloudy,4.2,5,103520
2018-02-03,15,5,2,0,0,Sunny,3.5,2,400035
2018-02-03,15,5,2,1,0,Sunny,3.1,4,399720
2018-02-03,13,5,2,0,0,Cloudy,2.6,2,218608
2018-02-04,17,6,2,0,0,Cloudy,2.2,3,367863
2018-02-04,15,6,2,0,0,Cloudy,4.3,5,366360
2018-02-05,17,0,2,0,0,Rainy,2.8,4,407405
2018-02-06,13,1,2,0,0,Cloudy,3.0,3,365898
2018-02-07,9,2,2,0,0,Rainy,3.1,5,191160
2018-02-08,14,3,2,1,0,Sunny,2.8,5,140560
2018-02-08,8,3,2,0,1,Sunny,2.0,2,126616
2018-02-10,19,5,2,0,0,Rainy,1.5,2,346921
2018-02-10,15,5,2,0,0,Rainy,1.4,3,410565
2018-02-10,10,5,2,0,0,Rainy,4.0,2,248490
2018-02-11,16,6,2,0,0,Rainy,1.9,3,419712
2018-02-11,11,6,2,0,0,Cloudy,1.2,3,195844
2018-02-12,9,0,2,0,1,Sunny,4.2,3,266238
2018-02-16,15,4,2,0,1,Cloudy,1.6,2,230610
2018-02-16,17,4,2,0,0,Rainy,3.5,4,212908
2018-02-16,14,4,2,0,0,Cloudy,2.4,3,269878
2018-02-16,13,4,2,0,0,Cloudy,1.5,4,375219
2018-02-16,7,4,2,0,0,Sunny,2.7,5,139195
2018-02-17,19,5,2,0,0,Cloudy,1.1,2,204782
2018-02-20,11,1,2,0,0,Sunny,4.4,2,126412
2018-02-20,14,1,2,0,0,Rainy,3.1,4,378616
2018-02-20,14,1,2,0,0,Cloudy,1.6,5,388248
2018-02-22,15,3,2,0,0,Rainy,1.9,5,354225
2018-02-23,9,4,2,1,0,Sunny,2.8,3,199188
2018-02-23,18,4,2,0,1,Rainy,1.8,2,363204
2018-02-24,11,5,2,0,0,Rainy,2.1,5,196361
2018-02-24,19,5,2,0,1,Sunny,3.1,5,499472
2018-02-24,6,5,2,0,0,Rainy,4.3,3,102936
2018-02-25,8,6,2,0,0,Rainy,2.6,3,96352
2018-02-27,6,1,2,0,1,Rainy,3.9,4,104208
2018-02-28,18,2,2,0,0,Cloudy,4.5,2,538200
2018-03-02,17,4,3,0,0,Rainy,1.9,5,401795
2018-03-02,17,4,3,1,0,Sunny,4.2,4,325856
2018-03-02,16,4,3,0,0,Cloudy,4.0,2,433776
2018-03-03,11,5,3,0,0,Cloudy,2.4,4,234608
2018-03-03,6,5,3,0,1,Sunny,5.0,2,139914
2018-03-04,17,6,3,0,1,Rainy,2.1,2,175814
2018-03-04,18,6,3,0,1,Cloudy,2.0,5,206046
2018-03-06,15,1,3,0,0,Cloudy,4.1,2,248715
2018-03-08,5,3,3,0,0,Cloudy,2.7,3,109255
2018-03-10,13,5,3,0,0,Rainy,2.3,5,212121
2018-03-10,5,5,3,0,1,Cloudy,1.7,3,134550
2018-03-10,12,5,3,0,0,Sunny,4.1,4,241056
2018-03-14,19,2,3,0,0,Rainy,4.1,4,435974
2018-03-16,6,4,3,0,0,Sunny,3.3,2,160734
2018-03-16,16,4,3,0,0,Sunny,4.8,2,393072
2018-03-16,12,4,3,0,0,Cloudy,2.3,3,298416
2018-03-16,17,4,3,0,1,Cloudy,1.9,3,336005
2018-03-17,7,5,3,0,1,Cloudy,3.7,3,157262
2018-03-19,10,0,3,0,0,Sunny,4.0,4,282300
2018-03-19,7,0,3,1,0,Rainy,1.9,3,195034
2018-03-21,18,2,3,0,1,Cloudy,1.3,5,370566
2018-03-22,11,3,3,0,0,Cloudy,4.2,5,118481
2018-03-23,14,4,3,0,0,Sunny,4.9,4,368200
2018-03-24,13,5,3,0,0,Rainy,3.6,3,244010
2018-03-27,6,1,3,0,0,Sunny,2.1,3,126558
2018-03-28,19,2,3,0,0,Cloudy,5.0,2,452257
2018-03-29,16,3,3,0,0,Sunny,4.6,5,163088
2018-03-30,16,4,3,0,0,Cloudy,3.1,4,192112
2018-03-31,19,5,3,0,0,Rainy,4.3,3,523811
2018-03-31,18,5,3,1,1,Sunny,4.3,2,518004
2018-03-31,9,5,3,0,0,Cloudy,4.7,4,190710
2018-04-01,17,6,4,0,0,Cloudy,4.4,4,339728
2018-04-02,10,0,4,0,0,Cloudy,3.6,5,193020
2018-04-03,8,1,4,0,0,Cloudy,3.4,3,139432
2018-04-04,8,2,4,0,0,Sunny,2.9,4,98088
2018-04-05,8,3,4,0,1,Cloudy,3.5,2,133728
2018-04-05,6,3,4,0,0,Sunny,4.2,2,113526
2018-04-05,8,3,4,0,0,Cloudy,4.9,4,115024
2018-04-06,15,4,4,0,0,Sunny,2.9,2,267225
2018-04-06,5,4,4,0,0,Sunny,3.3,4,118890
2018-04-06,16,4,4,0,0,Cloudy,2.8,2,477360
2018-04-08,10,6,4,0,1,Cloudy,3.7,4,227280
2018-04-08,5,6,4,0,1,Cloudy,3.5,4,101660
2018-04-09,14,0,4,0,0,Cloudy,1.1,4,277704
2018-04-09,10,0,4,0,1,Rainy,3.2,2,128000
2018-04-09,5,0,4,1,0,Cloudy,1.4,4,91665
2018-04-12,10,3,4,0,0,Cloudy,1.1,5,154100
2018-04-13,14,4,4,0,0,Cloudy,4.2,4,389746
2018-04-14,12,5,4,0,0,Sunny,2.0,3,189696
2018-04-14,15,5,4,0,0,Cloudy,2.4,3,251940
2018-04-15,6,6,4,0,1,Sunny,1.3,5,121728
2018-04-17,6,1,4,1,0,Sunny,1.7,4,166254
2018-04-18,18,2,4,0,0,Sunny,4.1,3,495774
2018-04-19,19,3,4,0,0,Sunny,3.0,4,278350
2018-04-19,17,3,4,0,0,Rainy,4.5,3,254779
2018-04-21,16,5,4,0,0,Cloudy,2.6,2,403200
2018-04-21,8,5,4,0,0,Sunny,2.1,2,117576
2018-04-21,15,5,4,1,0,Cloudy,2.4,5,400860
2018-04-23,7,0,4,0,0,Sunny,3.9,5,96796
2018-04-23,8,0,4,0,0,Rainy,3.2,4,226816
2018-04-24,17,1,4,0,0,Sunny,4.6,5,460479
2018-04-25,16,2,4,0,0,Cloudy,3.4,4,361680
2018-04-27,11,4,4,0,0,Cloudy,3.0,2,170302
2018-04-27,17,4,4,0,0,Rainy,4.1,2,479128
2018-04-28,15,5,4,0,0,Cloudy,4.8,3,231945
2018-04-28,5,5,4,0,0,Cloudy,2.4,4,119300
2018-04-30,10,0,4,0,1,Sunny,2.0,2,149120
2018-05-02,19,2,5,0,0,Cloudy,3.5,2,278312
2018-05-03,19,3,5,0,1,Sunny,3.0,4,206245
2018-05-06,7,6,5,0,0,Rainy,5.0,3,90062
2018-05-06,15,6,5,0,0,Cloudy,2.8,3,327510
2018-05-07,14,0,5,0,0,Sunny,1.3,3,368116
2018-05-08,11,1,5,0,1,Cloudy,4.9,3,292226
2018-05-08,14,1,5,0,0,Sunny,4.4,2,183568
2018-05-08,6,1,5,0,0,Rainy,1.7,4,86952
2018-05-10,18,3,5,0,1,Sunny,4.6,4,452052
2018-05-10,6,3,5,0,0,Cloudy,2.4,2,69102
2018-05-11,17,4,5,0,0,Sunny,2.5,2,442306
2018-05-11,8,4,5,0,0,Cloudy,4.6,2,221920
2018-05-11,5,4,5,0,0,Rainy,3.1,5,107155
2018-05-12,7,5,5,0,0,Sunny,1.6,4,127470
2018-05-13,17,6,5,0,0,Cloudy,2.5,4,367115
2018-05-14,13,0,5,0,0,Cloudy,3.9,4,297323
2018-05-15,11,1,5,0,0,Cloudy,1.7,3,250173
2018-05-17,19,3,5,0,1,Sunny,3.4,2,367156
2018-05-18,11,4,5,0,1,Sunny,3.8,2,236841
2018-05-19,17,5,5,0,0,Sunny,2.4,2,281996
2018-05-20,17,6,5,0,0,Rainy,3.8,5,226287
2018-05-21,15,0,5,0,0,Cloudy,4.5,4,164805
2018-05-23,8,2,5,0,0,Cloudy,2.9,2,106568
2018-05-24,6,3,5,0,0,Rainy,2.5,5,154872
2018-05-24,19,3,5,0,0,Rainy,2.0,2,277685
2018-05-24,18,3,5,0,0,Sunny,3.4,3,459216
2018-05-25,8,4,5,0,0,Sunny,4.5,4,185168
